SIC,Industry_Code,LFS_Description,ONS_Description
1,01.11,"Growing cereals, other crops",Growing of cereals and other crops not elsewhere classified
2,01.12,"Growing veg,horticulture,nursery","Growing of vegetables, horticultural specialities and nursery"
3,01.13,"Grwg.fruit,nut,beverge,spice crop","Growing of fruit, nuts, beverage and spice crops"
4,01.21,"Farming cattle,dairy","Farming of cattle, dairy farming"
5,01.22,"Farming sheep,goats,horses etc","Farming of sheep, goats, horses, asses, mules and hinnies"
6,01.23,Farming pigs,Farming of swine
7,01.24,Farming poultry,Farming of poultry
8,01.25,Farming other animals,Other farming of animal
9,01.30,Mixed farming (crops & animals),Growing of crops combined with farming of animals (mixed
10,01.41,Agricultural services,Agricultural service activities
11,01.42,Animal husbdry service (not vet),"Animal husbandry service activities, except veterinary"
12,01.50,"Hunting,trapping,game etc","Hunting, trapping and game propagation including related"
13,02.01,"Forestry,logging",Forestry and logging
14,02.02,"Forestry,logging services",Forestry and logging related service activities
15,05.01,Fishing,Fishing
16,05.02,"Fish hatcheries,farms",Operation of fish hatcheries and fish farms
17,10.101,Deep coal mines,Deep coal mines
18,10.102,Opencast coal working,Opencast coal working
19,10.103,Solid fuel manufacture,Manufacture of solid fuel
20,10.20,"Lignite mining,agglomeration",Mining and agglomeration of lignite
21,10.30,"Peat extraction,agglomeration",Extraction and agglomeration of peat
22,11.10,"Crude oil,gas extraction",Extraction of crude petroleum and natural gas
23,11.20,"Oil,gas services (not surveying)",Service activities incidental to oil and gas extraction
24,12.00,"Uranium,thorium ore mining",Mining of uranium and thorium ores
25,13.10,Iron ore mining,Mining of iron ores
26,13.20,"Non-ferrous mine.(not Uran,Thor)","Mining of non-ferrous metal ores, except uranium and"
27,14.11,Quarrying construction stone,Quarrying of stone for construction
28,14.12,"Limestone,gypsum,chalk quarrying","Quarrying of limestone, gypsum and chalk"
29,14.13,Slate quarrying,Quarrying of slate
30,14.21,"Gravel,sand pits",Operation of gravel and sand pits
31,14.22,"Clay,kaolin mining",Mining of clays and kaolin
32,14.30,"Chemical,fertiliser mining",Mining of chemical and fertilizer minerals
33,14.40,Salt production,Production of salt
34,14.50,"Other mining,quarrying",Other mining and quarrying not elsewhere classified
35,15.111,"Slaught'ng (not poultry,rabbit)",Slaughtering of animals other than poultry and rabbits
36,15.112,Animal by-product processing,Animal by-product processing
37,15.113,Fellmongery,Fellmongery
38,15.12,"Poultry production,preserving",Production and preserving of poultry meat
39,15.13,"Meat,poultry products",Production of meat and poultry meat products
40,15.20,"Fish,fish products,preserving",Processing and preserving of fish and fish products
41,15.31,"Potato products,preserving",Processing and preserving of potatoes
42,15.32,"Fruit,vegetable juice processing",Manufacture of fruit and vegetable juice
