SOC,OCCUPATION_DESCRIPTION
1,"MANAGERS, DIRECTORS AND SENIOR OFFICIALS"
11,CORPORATE MANAGERS AND DIRECTORS
111,Chief Executives and Senior Officials
1111,Chief executives and senior officials
1112,Elected officers and representatives
112,Production Managers and Directors
1121,Production managers and directors in manufacturing
1122,Production managers and directors in construction
1123,Production managers and directors in mining and energy
113,Functional Managers and Directors
1131,Financial managers and directors
1132,"Marketing, sales and advertising directors"
1133,Public relations and communications directors
1134,Purchasing managers and directors
1135,Charitable organisation managers and directors
1136,Human resource managers and directors
1137,Information technology directors
1139,Functional managers and directors n.e.c.
114,"Directors in Logistics, Warehousing and Transport"
1140,"Directors in logistics, warehousing and transport"
115,Managers and Directors in Retail and Wholesale
1150,Managers and directors in retail and wholesale
116,Senior Officers in Protective Services
1161,Officers in armed forces
1162,Senior police officers
1163,"Senior officers in fire, ambulance, prison and related services"
117,Health and Social Services Managers and Directors
1171,Health services and public health managers and directors
1172,Social services managers and directors
12,OTHER MANAGERS AND PROPRIETORS
121,Managers and Proprietors in Agriculture Related Services
1211,Managers and proprietors in agriculture and horticulture
1212,"Managers and proprietors in forestry, fishing and related services"
122,Managers and Proprietors in Hospitality and Leisure Services
1221,Hotel and accommodation managers and proprietors
1222,Restaurant and catering establishment managers and proprietors
1223,Publicans and managers of licensed premises
1224,Leisure and sports managers
1225,Travel agency managers and proprietors
123,Managers and Proprietors in Health and Care Services
1231,Health care practice managers
1232,"Residential, day and domiciliary care managers and proprietors"
1233,Early education and childcare services proprietors
124,"Managers in Logistics, Warehousing and Transport"
1241,Managers in transport and distribution
1242,Managers in storage and warehousing
1243,Managers in logistics
125,Managers and Proprietors in Other Services
1251,"Property, housing and estate managers"
1252,Garage managers and proprietors
1253,Hairdressing and beauty salon managers and proprietors
1254,Waste disposal and environmental services managers
1255,Managers and directors in the creative industries
1256,Betting shop and gambling establishment managers
1257,Hire services managers and proprietors
1258,Directors in consultancy services
1259,Managers and proprietors in other services n.e.c.
2,PROFESSIONAL OCCUPATIONS
21,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS"
211,Natural and Social Science Professionals
2111,Chemical scientists
2112,Biological scientists
2113,Biochemists and biomedical scientists
2114,Physical scientists
2115,Social and humanities scientists
2119,Natural and social science professionals n.e.c.
212,Engineering Professionals
2121,Civil engineers
2122,Mechanical engineers
2123,Electrical engineers
2124,Electronics engineers
2125,Production and process engineers
2126,Aerospace engineers
2127,Engineering project managers and project engineers
2129,Engineering professionals n.e.c.
213,Information Technology Professionals
2131,IT project managers
2132,IT managers
2133,"IT business analysts, architects and systems designers"
2134,Programmers and software development professionals 
2135,Cyber security professionals
2136,IT quality and testing professionals
2137,IT network professionals
2139,Information technology professionals n.e.c.
214,Web and Multimedia Design Professionals
2141,Web design professionals
2142,Graphic and multimedia designers
215,Conservation and Environment Professionals
2151,Conservation professionals
2152,Environment professionals
216,Research and Development (R&D) and Other Research Professionals
2161,Research and development (R&D) managers 
2162,"Other researchers, unspecified discipline"
22,HEALTH PROFESSIONALS
221,Medical Practitioners
2211,Generalist medical practitioners
2212,Specialist medical practitioners
222,Therapy Professionals
2221,Physiotherapists
2222,Occupational therapists
2223,Speech and language therapists
2224,Psychotherapists and cognitive behaviour therapists
2225,Clinical psychologists
2226,Other psychologists
2229,Therapy professionals n.e.c.
223,Nursing Professionals
2231,Midwifery nurses
2232,Community nurses
2233,Specialist nurses
2234,Nurse practitioners
2235,Mental health nurses
2236,Children's nurses
2237,Other nursing professionals 
224,Veterinarians
2240,Veterinarians
225,Other Health Professionals
2251,Pharmacists
2252,Optometrists
2253,Dental practitioners
2254,Medical radiographers
2255,Paramedics
2256,Podiatrists
2259,Other health professionals n.e.c.
23,TEACHING AND OTHER EDUCATIONAL PROFESSIONALS
231,Teaching Professionals
2311,Higher education teaching professionals
2312,Further education teaching professionals
2313,Secondary education teaching professionals
2314,Primary education teaching professionals
2315,Nursery education teaching professionals
2316,Special needs education teaching professionals
2317,Teachers of English as a foreign language
2319,Teaching professionals n.e.c.
232,Other Educational Professionals
2321,Head teachers and principals
2322,Education managers 
2323,Education advisers and school inspectors
2324,Early education and childcare services managers
2329,Other educational professionals n.e.c
24,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS"
241,Legal Professionals
2411,Barristers and judges
2412,Solicitors and lawyers
2419,Legal professionals n.e.c.
242,Finance Professionals
2421,Chartered and certified accountants
