SOC,OCCUPATION_DESCRIPTION
100,General administrators; national government (Assistant Secretary/Grade 5 and above)
101,General managers; large companies and organisations
102,Local government officers (administrative and executive functions)
103,General administrators; national government (HEO to Senior Principal/Grade 6)
110,"Production, works and maintenance managers"
111,Managers in building and contracting
112,Clerks of works
113,Managers in mining and energy industries
120,Treasurers and company financial managers
121,Marketing and sales managers
122,Purchasing managers
123,Advertising and public relations managers
124,"Personnel, training and industrial relations managers"
125,Organisation and methods and work study managers
126,Computer systems and data processing managers
127,Company secretaries
130,Credit controllers
131,"Bank, Building Society and Post Office managers (except self-employed)"
132,Civil Service executive officers
139,Other financial institution and office managers n.e.c.
140,Transport managers
141,Stores controllers
142,Managers in warehousing and other materials handling
150,Officers in UK armed forces
151,Officers in foreign and Commonwealth armed forces
152,Police officers (inspector and above)
153,Fire service officers (station officer and above)
154,Prison officers (principal officer and above)
155,"Customs and excise, immigration service officers (customs: chief preventive officer and above; excise: surveyor and above)"
160,"Farm owners and managers, horticulturists"
169,"Other managers in farming, horticulture, forestry and fishing n.e.c."
170,Property and estate managers
171,Garage managers and proprietors
172,Hairdressers' and barbers' managers and proprietors
173,Hotel and accommodation managers
174,Restaurant and catering managers
175,"Publicans, innkeepers and club stewards"
176,Entertainment and sports managers
177,Travel agency managers
178,Managers and proprietors of butchers and fishmongers
179,Managers and proprietors in service industries n.e.c.
190,"Officials of trade associations, trade unions, professional bodies and charities"
191,Registrars and administrators of educational establishments
199,Other managers and administrators n.e.c.
200,Chemists
201,Biological scientists and biochemists
202,"Physicists, geologists and meteorologists"
209,Other natural scientists n.e.c.
210,"Civil, structural, municipal, mining and quarrying engineers"
211,Mechanical engineers
212,Electrical engineers
213,Electronic engineers
214,Software engineers
215,Chemical engineers
216,Design and development engineers
217,Process and production engineers
218,Planning and quality control engineers
219,Other engineers and technologists n.e.c.
220,Medical practitioners
221,Pharmacists/pharmacologists
222,Ophthalmic opticians
223,Dental practitioners
224,Veterinarians
230,University and polytechnic teaching professionals
231,Higher and further education teaching professionals
232,"Education officers, school inspectors"
233,Secondary (and middle school deemed secondary) education teaching professionals
234,Primary (and middle school deemed primary) and nursery education teaching professionals
235,Special education teaching professionals
239,Other teaching professionals n.e.c.
240,Judges and officers of the Court
241,Barristers and advocates
242,Solicitors
250,Chartered and certified accountants
251,Management accountants
252,"Actuaries, economists and statisticians"
253,"Management consultants, business analysts"
260,Architects
261,Town planners
262,"Building, land, mining and 'general practice' surveyors"
270,Librarians
271,Archivists and curators
290,Psychologists
291,Other social and behavioural scientists
292,Clergy
293,"Social workers, probation officers"
300,Laboratory technicians
301,Engineering technicians
302,Electrical/electronic technicians
303,Architectural and town planning technicians
304,Building and civil engineering technicians
309,Other scientific technicians n.e.c.
310,Draughtspersons
311,Building inspectors
312,Quantity surveyors
313,"Marine, insurance and other surveyors"
320,Computer analyst/programmers
330,Air traffic planners and controllers
331,Aircraft flight deck officers
332,Ship and hovercraft officers
340,Nurses
341,Midwives
342,Medical radiographers
343,Physiotherapists
344,Chiropodists
345,Dispensing opticians
346,"Medical technicians, dental auxiliaries"
347,"Occupational and speech therapists, psychotherapists, therapists n.e.c."
348,Environmental health officers
349,Other health associate professionals n.e.c.
350,Legal service and related occupations
360,"Estimators, valuers"
361,"Underwriters, claims assessors, brokers, investment analysts"
362,Taxation experts
363,Personnel and industrial relations officers
364,Organisation and methods and work study officers
370,"Matrons, houseparents"
371,"Welfare, community and youth workers"
380,"Authors, writers, journalists"
381,"Artists, commercial artists, graphic designers"
382,Industrial designers
383,Clothing designers
384,"Actors, entertainers, stage managers, producers and directors"
385,Musicians
386,"Photographers, camera, sound and video equipment operators"
387,"Professional athletes, sports officials"
390,Information officers
391,Vocational and industrial trainers
392,Careers advisers and vocational guidance specialists
393,Driving instructors (excluding HGV)
394,"Inspectors of factories, utilities and trading standards"
395,Other statutory and similar inspectors n.e.c.
396,Occupational hygienists and safety officers (health and safety)
399,Other associate professional and technical occupations n.e.c.
400,Civil Service administrative officers and assistants
401,Local government clerical officers and assistants
410,"Accounts and wages clerks, book-keepers, other financial clerks"
411,Counter clerks and cashiers
412,"Debt, rent and other cash collectors"
