DEGREE_SUBJECT, SUBJECT_DESCRIPTION
1,"Medicine and dentistry"
2,"Medical related subjects"
3,"Biological Sciences"
4,"Agricultural Sciences"
5,"Physical/Environmental Sciences"
6,"Mathematical Sciences & Computing"
7,"Engineering"
8,"Technology"
9,"Architecture and related studies"
10,"Social Studies"
11,"Law"
12,"Business & Financial studies"
13,"Librarianship & Information studies"
14,"Linguistics, English, Celtic and Ancient"
15,"European Languages"
16,"Other Languages"
17,"Humanities"
18,"Arts"
19,"Education"
