DEGREE,DEGREE_DESCRIPTION
1,Medicine
1.1,Pre-Clinical Medicine
1.2,Medical Science
1.3,Pre-Clinical Dentistry
1.4,Clinical Medicine
1.5,Neurophysiological Basis of Behaviour
1.6,Nuclear Medicine
1.7,Clinical Dentistry
10,Social Sciences
10.1,Economics
10.1.1,Economic Policy
10.1.10,Mathematical Economics
10.1.11,Quantitative Economics
10.1.12,Econometrics
10.1.13,Economics and Quantitative Analysis
10.1.14,Computing Economics
10.1.15,Financial Economics
10.1.16,Overseas Economics
10.1.17,Technological Economics
10.1.18,Other/General Economics n.e.c
10.1.2,Applied Economics
10.1.3,Business Economics
10.1.4,Political Economics
10.1.5,Philosophy Politics and Economics
10.1.6,Economic Systems
10.1.7,Ecological Economics
10.1.8,Agricultural Economics
10.1.9,Social Statistics
10.10,Other Social Studies
10.10.1,British Studies
10.10.10,Other/General Social Studies (single subject) n.e.c
10.10.2,Modern Studies
10.10.3,Women's Studies
10.10.4,Race Relations
10.10.5,Development Studies
10.10.6,Peace Studies
10.10.7,Conflict Resolution
10.10.8,Defence/Security Studies
10.10.9,War Studies
10.2,Sociology
10.2.1,Applied Sociology
10.2.10,Other/General Sociology n.e.c
10.2.2,Social Studies
10.2.3,Applied Social Studies
10.2.4,Social Science
10.2.5,Applied Social Science
10.2.6,Human and Social Science
10.2.7,Probation and After Care Training
10.2.8,Cultural Sociology
10.2.9,Criminology
10.3,Social Policy and Administration
10.3.1,Social and Economic Policy
10.3.2,British and American Policy Studies
10.3.3,Health Studies
10.3.4,Health Administration
10.3.5,Public Policy Management
10.3.6,Other/General Social Policy & Administra
10.4,Social Work
10.4.1,Residential Social Work
10.4.10,Child Care
10.4.11,Residential Child Care
10.4.12,Caring Skills
10.4.13,Playwork
10.4.14,Health and Community Studies
10.4.15,Other/General Social Work n.e.c
10.4.2,Welfare
10.4.3,Applied Social Work
10.4.4,Youth and Community Work
10.4.5,Community Work
10.4.6,Home Help
10.4.7,Counselling
10.4.8,Careers Education/Guidance
10.4.9,Children in Society
10.5,Anthropology
10.5.1,Social Anthropology
10.5.2,Biological Anthropology
10.5.3,Cultural Studies
10.5.4,Cultural Social Anthropology
10.5.5,Other/general Anthropology n.e.c
10.6,Psychology (without sig. biological element) n.e.c.
10.6.1,Applied Psychology
10.6.10,Developmental Psychology
10.6.11,Other/general psychology (without sig. biological element) n
10.6.2,Human Psychology
10.6.3,Behavioural Science
10.6.4,Social Psychology
10.6.5,Cultural Social Psychology
10.6.6,Applied Social Psychology
10.6.7,Occupational Psychology
10.6.8,Educational Psychology
10.6.9,Experimental Psychology
10.7,Geography (unless solely as a physical science)
10.7.1,Applied Geography
10.7.2,Human Geography
10.7.3,Demography
10.7.4,Economic Geography
10.7.5,Geographical Techniques
10.7.6,Asian and African Geography
10.7.7,Other/General Social Geography n.e.c
10.8,Politics
10.8.1,Political Theory
10.8.10,International Politics
10.8.11,International Relations
10.8.12,Strategic Studies
10.8.13,Comparative Politics
10.8.14,Politics of a Specific Country
10.8.15,Other/General Politics n.e.c
10.8.2,Communism
10.8.3,Government
10.8.4,Public Administration
10.8.5,Politics and Administration
10.8.6,Politics and Government
10.8.7,Parliamentary Studies
10.8.8,European Community Studies
10.8.9,Policy and Administration Studies
10.9,Law
10.9.1,Jurisprudence
10.9.10,Business Law
10.9.11,American Law
10.9.12,Law for Magistrates Court Clerks
10.9.13,Law Related Studies
10.9.14,Socio Legal Studies
10.9.15,Theory of Law
10.9.16,Conveyancing
10.9.17,Other/General Law n.e.c
10.9.2,European Community Law and Integration
10.9.3,European Law
10.9.4,French Law
10.9.5,German Law
10.9.6,Spanish Law
10.9.7,European Legal Studies
10.9.8,Scots Law
10.9.9,Criminal Law
11,Business and Financial Studies
11.1,Business and Management Studies
11.1.1,Management
11.1.10,Business Studies
11.1.11,Organisation Studies
11.1.12,Business Administration/Enterprise Development
11.1.13,Enterprise Training
11.1.14,Business & Finance
11.1.15,Business Computing
11.1.16,Industrial Organisation
